--------- beginning of main
06-06 09:20:42.310 13353 14158 W ProvidersCache: Failed to load some roots from com.google.android.apps.docs.storage
06-06 09:20:42.310 13353 14158 W ProvidersCache: android.os.DeadObjectException: Transaction failed on small parcel; remote process probably died, but this could also be caused by running out of binder buffer space
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.os.BinderProxy.transactNative(Native Method)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.os.BinderProxy.transact(BinderProxy.java:592)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.content.ContentProviderProxy.query(ContentProviderNative.java:493)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.content.ContentProviderClient.query(ContentProviderClient.java:196)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.content.ContentProviderClient.query(ContentProviderClient.java:178)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at android.content.ContentProviderClient.query(ContentProviderClient.java:168)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache.loadRootsForAuthority(ProvidersCache.java:367)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache.-$$Nest$mloadRootsForAuthority(ProvidersCache.java:0)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache$MultiProviderUpdateTask.handleDocumentsProvider(ProvidersCache.java:647)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache$MultiProviderUpdateTask.startSingleProviderUpdateTask(ProvidersCache.java:623)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache$MultiProviderUpdateTask.lambda$doInBackground$0(ProvidersCache.java:569)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache$MultiProviderUpdateTask.$r8$lambda$mnJpmgdZARm40VapREkQeOExLF8(ProvidersCache.java:0)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at com.android.documentsui.roots.ProvidersCache$MultiProviderUpdateTask$$ExternalSyntheticLambda0.run(R8$$SyntheticClass:0)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:524)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at java.util.concurrent.FutureTask.run(FutureTask.java:317)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1156)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:651)
06-06 09:20:42.310 13353 14158 W ProvidersCache: 	at java.lang.Thread.run(Thread.java:1119)
06-06 09:20:42.312   569   682 I RoleService: Granting default roles...
06-06 09:20:42.312   474   481 D installd: Device /data has 325046272 free; requested 622811544; needed 297765272
06-06 09:20:42.312   474   481 W installd: Failed to find storage mount for /data/media
06-06 09:20:42.364   569   610 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@a9c32c8c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
06-06 09:20:42.377   367   367 D Zygote  : Forked child process 14179
06-06 09:20:42.388 14179 14179 I externalstorage: Using CollectorTypeCMC GC.
06-06 09:20:42.395 14179 14179 E externalstorage: Not starting debugger since process cannot load the jdwp agent.
06-06 09:20:42.397 14179 14179 D nativeloader: Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
06-06 09:20:42.415   367   367 I Zygote  : Process 13385 exited due to signal 9 (Killed)
06-06 09:20:42.425   938   938 D CarrierSvcBindHelper: onHandleForceStop: [ru.poryadok5.app]
06-06 09:20:42.425   938   938 D CarrierSvcBindHelper: No carrier app for: 0
06-06 09:20:42.437   474   481 D installd: Active ratio 2449 isn't over quota, and defy not requested
06-06 09:20:42.437   474   481 E installd: Failed to free up 622811544 on /data; final free space 325062656: Success
--------- beginning of system
06-06 09:20:42.438   569   744 W PackageManager: Not removing package com.google.android.trichromelibrary hosting lib com.google.android.trichromelibrary version 768011933 used by [VersionedPackage[com.android.chrome/768011933]] for user 0
06-06 09:20:42.438   474   481 D installd: Device /data has 325062656 free; requested 622811544; needed 297748888
06-06 09:20:42.438   474   481 W installd: Failed to find storage mount for /data/media
06-06 09:20:42.441   474   481 D installd: Purging /data/user_de/0/com.google.android.inputmethod.latin/cache/auto_clean/kb_def|app>175712534|os>36_1741674366000/2fdd36a6531f94c55e41f420f9f4bcd6 size=212992 mod=1780719598 from UID=10157 used=10280960 quota=48848769 ratio=2104
06-06 09:20:42.441   474   481 D installd: Purging /data/user_de/0/com.google.android.inputmethod.latin/cache/auto_clean/kb_def|app>175712534|os>36_1741674366000 size=8192 mod=1780719598 from UID=10157 used=10067968 quota=48848769 ratio=2061
06-06 09:20:42.441   474   481 D installd: Purging /data/user_de/0/com.google.android.inputmethod.latin/cache/auto_clean size=8192 mod=1780719598 from UID=10157 used=10059776 quota=48848769 ratio=2059
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/thread_border_agent_database.lck size=4096 mod=1780719598 from UID=10146 used=5488640 quota=48848769 ratio=1123
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/chime_gms_database.lck size=4096 mod=1780719602 from UID=10146 used=5484544 quota=48848769 ratio=1122
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms/managed/common/shared/cgal.mdi.sync.moonlander.autofill-domain-predictions-prod-spanner/infinite_data_cache size=69632 mod=1780719641 from UID=10146 used=5480448 quota=48848769 ratio=1121
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms/managed/common/shared/cgal.mdi.sync.moonlander.autofill-domain-predictions-prod-spanner size=8192 mod=1780719641 from UID=10146 used=5410816 quota=48848769 ratio=1107
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms/managed/common/shared size=8192 mod=1780719641 from UID=10146 used=5402624 quota=48848769 ratio=1105
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms/managed/common size=8192 mod=1780719641 from UID=10146 used=5394432 quota=48848769 ratio=1104
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms/managed size=8192 mod=1780719641 from UID=10146 used=5386240 quota=48848769 ratio=1102
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android:/com.google.android.gms size=8192 mod=1780719641 from UID=10146 used=5378048 quota=48848769 ratio=1100
06-06 09:20:42.444   474   481 D installd: Purging /data/data/com.google.android.gms/cache/android: size=8192 mod=1780719641 from UID=10146 used=5369856 quota=48848769 ratio=1099
06-06 09:20:42.446   474   481 D installd: Purging /data/data/com.android.vending/cache/images size=8192 mod=1780719624 from UID=10144 used=393216 quota=48848769 ratio=80
06-06 09:20:42.446   474   481 D installd: Purging /data/data/com.android.vending/cache/data/user/0/com.android.vending/no_backup/androidx.work.workdb.lck size=4096 mod=1780719625 from UID=10144 used=385024 quota=48848769 ratio=78
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data/user/0/com.android.vending/no_backup size=8192 mod=1780719625 from UID=10144 used=380928 quota=48848769 ratio=77
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data/user/0/com.android.vending size=8192 mod=1780719625 from UID=10144 used=372736 quota=48848769 ratio=76
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data/user/0 size=8192 mod=1780719625 from UID=10144 used=364544 quota=48848769 ratio=74
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data/user size=8192 mod=1780719625 from UID=10144 used=356352 quota=48848769 ratio=72
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/gmscompliance.pb size=8192 mod=1780719625 from UID=10144 used=348160 quota=48848769 ratio=71
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data size=8192 mod=1780719625 from UID=10144 used=339968 quota=48848769 ratio=69
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data-loader-logs/null_account/eventlog.store2537844526760360571.log size=4096 mod=1780719629 from UID=10144 used=331776 quota=48848769 ratio=67
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/aia-logs/null_account size=8192 mod=1780719629 from UID=10144 used=327680 quota=48848769 ratio=67
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data-loader-logs/null_account size=8192 mod=1780719629 from UID=10144 used=319488 quota=48848769 ratio=65
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/main/aZKbroPjPVDDyQLyQHGuIbY8KvM size=8192 mod=1780719630 from UID=10144 used=311296 quota=48848769 ratio=63
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data-loader-logs/null_account.metalog/logs_upload_attempt.log size=8192 mod=1780719631 from UID=10144 used=303104 quota=48848769 ratio=62
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/data-loader-logs/null_account.metalog/play_metalog.log size=8192 mod=1780719631 from UID=10144 used=294912 quota=48848769 ratio=60
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/aia-logs/null_account.metalog/logs_upload_attempt.log size=4096 mod=1780719631 from UID=10144 used=286720 quota=48848769 ratio=58
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/aia-logs/null_account.metalog/play_metalog.log size=8192 mod=1780719631 from UID=10144 used=282624 quota=48848769 ratio=57
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/streamdatastore/streamdatastore.db-journal size=4096 mod=1780719631 from UID=10144 used=274432 quota=48848769 ratio=56
06-06 09:20:42.447   474   481 D installd: Purging /data/data/com.android.vending/cache/streamdatastore/streamdatastore.db size=151552 mod=1780719631 from UID=10144 used=270336 quota=48848769 ratio=55
06-06 09:20:42.463   474   481 D installd: Purging /data/data/com.android.vending/cache/main/x5aInqe33_hbXa5ef6TuYAFjuJc size=8192 mod=1780719631 from UID=10144 used=118784 quota=48848769 ratio=24
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0/com.google.android.apps.docs/no_backup/databases/gnp_database.lck size=4096 mod=1780719599 from UID=10153 used=114688 quota=48848769 ratio=23
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0/com.google.android.apps.docs/no_backup/androidx.work.workdb.lck size=4096 mod=1780719599 from UID=10153 used=110592 quota=48848769 ratio=22
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.android.vending/cache/aia-logs/null_account.metalog size=8192 mod=1780719631 from UID=10144 used=110592 quota=48848769 ratio=22
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0/com.google.android.apps.docs/no_backup/databases size=8192 mod=1780719599 from UID=10153 used=106496 quota=48848769 ratio=21
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0/com.google.android.apps.docs/no_backup size=8192 mod=1780719599 from UID=10153 used=98304 quota=48848769 ratio=20
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.android.vending/cache/data-loader-logs/null_account.metalog size=8192 mod=1780719631 from UID=10144 used=102400 quota=48848769 ratio=20
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.android.vending/cache/main size=8192 mod=1780719631 from UID=10144 used=94208 quota=48848769 ratio=19
06-06 09:20:42.467   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0/com.google.android.apps.docs size=8192 mod=1780719599 from UID=10153 used=90112 quota=48848769 ratio=18
06-06 09:20:42.470   474   481 D installd: Purging /data/data/com.google.android.documentsui/cache/clippings size=8192 mod=1780719598 from UID=10101 used=114688 quota=67108864 ratio=17
06-06 09:20:42.471   474   481 D installd: Purging /data/data/com.android.vending/cache/aia-logs size=8192 mod=1780719631 from UID=10144 used=86016 quota=48848769 ratio=17
06-06 09:20:42.471   474   481 D installd: Purging /data/data/com.google.android.apps.docs/cache/data/user/0 size=8192 mod=1780719599 from UID=10153 used=81920 quota=48848769 ratio=16
